accelerator,dealroom_profile_url,website,website_on_file_reliable,city,activity_status,est_startups_per_year,dealroom_portfolio_current,evidence,evidence_url,evidence_date,confidence
Bluefields Aceleradora,https://app.dealroom.co/investors/bluefields_aceleradora,https://bluefieldsdev.com,NO — find current site,Brazil,active,40,0,Bluefields ran the 5th edition of its corporate acceleration partnership with Construtora Tenda from March to September 2025 and hosted 'Bluefields Summit 2025'; the on-file domain bluefieldsdev.com now 301-redirects to their current live site bluefields.com.br.,https://startups.com.br/negocios/aceleracao/bluefields-levanta-r-3m-para-reinventar-modelo-de-aceleracao/,2025,high
TroposLab,https://app.dealroom.co/investors/tropos_lab,http://www.troposlab.com/,yes,Belo Horizonte,active,40,0,"TroposLab is a B2B innovation consultancy that designs and runs equity-free acceleration cohorts on behalf of institutional partners; Sebrae Roraima launched a Troposlab-run acceleration program on 2026-06-16 selecting 15 startups (applications through 2026-07-17), following an April-2025 Sebrae-SP fintech-founder acceleration cohort (20 women-led fintechs) — both within the last 24 months.",https://rr.agenciasebrae.com.br/inovacao-e-tecnologia/sebrae-roraima-lanca-programa-para-acelerar-startups-e-fortalecer-ecossistema-de-inovacao-no-estado/,2026-06,high
Arenahub,https://app.dealroom.co/investors/arenahub,http://arenahub.com.br,yes,São Paulo,active,,0,"Arena Hub is a genuine sports-tech accelerator/innovation hub running the Podium Labs pre-acceleration program plus several challenges. Its Podium Labs 3 page currently shows an open call ('Inscreva-se!' plus a downloadable edital) with a 2025 site footer, and a new national startup challenge with Ticket Sports was announced.",https://www.arenahub.com.br/podium-labs3,2025,medium
Fabrica de Startups,https://app.dealroom.co/investors/fabrica_de_startups,http://fabricadestartups.com.br,yes,Rio de Janeiro,active,,0,"Fábrica de Startups Brasil (Portugal-origin 'FabStart' network, now Brazil-licensed via Gramado Valley) curated the Startup Smart Stage at Smart City Expo Curitiba 2025 and launched its 'Tourism Explorers Serra Gaúcha' acceleration program at Gramado Summit in 2025.",https://startups.com.br/eventos/gramado-summit/europeia-fabrica-de-startups-lanca-seu-1o-programa-de-aceleracao-no-brasil/,2025,medium
Grupo Rede+,https://app.dealroom.co/investors/grupo_rede_,http://gruporedemais.com,yes,Salvador,active,,0,"Dec 16, 2024 blog post confirms Rede+ is accredited by the state Tecnova program (Bahia, Goiás, Sergipe, Maranhão, DF, Ceará) and is actively guiding startups from a recent cohort ('Tecnova III') into further acceleration/funding steps.",https://gruporedemais.com/blog/acelere-sua-startup-pelo-tecnova-com-a-rede/,2024-12,medium
Ilhahub de Inovação,https://app.dealroom.co/investors/ilhahub_de_inova_o,https://ilhahub.com.br/,yes,São Paulo,active,,0,"Active Blue Economy innovation hub/accelerator (12-startup portfolio, aiming for 1,000 ocean startups by 2030): led a Brazilian delegation to the June 2025 UN Ocean Conference, partners with Sebrae-SP on the 'Speed Marine' acceleration program, and launched a Blue Economy investment vehicle with Ventiur.",https://ilhahub.com.br/onuoceano2025/,2025-06,medium
Nexus,https://app.dealroom.co/investors/nexus_11,https://pitsjc.org.br/nexus/,yes,São Paulo,active,,0,"Nexus, the innovation hub/accelerator-incubator of the São José dos Campos Technology Park (PIT), opened applications for Batch 26 on 7 Jul 2025 (deadline 5 Aug 2025), with Workshop Day 12 Aug and Pitch Workshop 10 Oct 2025; it holds Anprotec's top CERNE 4 certification and was ranked among the world's five best incubators by UBI Global.",https://anprotec.org.br/site/2025/07/inscricoes-para-o-batch26-ja-estao-abertas/,2025-07,high
PCT Guamá,https://app.dealroom.co/investors/pct_guam_,http://pctguama.org.br,yes,Brazil,active,,0,"Science & technology park in Belém running a continuous 'empresa associada' residency/selection edital (nº 001/2026, Feb 2026) plus a committee-run 'Espaço Inovação' startup selection, and it joined the Pan-Amazon incubator/accelerator network (Ripa) in 2026.",https://pctguama.org.br/wp-content/uploads/2026/02/EDITAL_NBA_001_2026_-_SELECAO_DE_EMPRESAS_PARA_O_PROGRAMA_DE_EMPRESA_ASSOCIADA_AO_PARQUE_DE_CIENCIA_E_TECNOLOGIA_GUAMA_29_29_assinado_assinado.pdf,2026-02,high
Sebrae Catalisa ICT,https://app.dealroom.co/investors/sebrae_catalisa_ict,https://sebrae.com.br/sites/PortalSebrae/catalisa/ictedital,yes,Brazil,active,,0,"National Sebrae deep-tech acceleration program; 2025 edital registrations (extended to March 9, 2025) selected up to 2,000 research projects for a 3-month mobilization phase, followed by 9-month validation and a 12-month scale-up acceleration phase with funding up to R$200k.",https://www.inova.unicamp.br/2025/02/inscricoes-para-o-programa-de-aceleracao-do-sebrae-catalisa-ict-vao-ate-9-de-marco/,2025-03,high
Startup RIO,https://app.dealroom.co/investors/startup_rio,http://startuprio.org,yes,Brazil,active,,0,"Rio de Janeiro state's flagship digital-entrepreneur acceleration program continues to run, now under startuprio.rj.gov.br and the related 'Hub RJ Startup' edital; the 2025 edition carried a record R$12M investment (up to R$80k/project plus mentorship), with the submission deadline extended to May 30, 2025. The Dealroom-listed startuprio.org domain no longer resolves (DNS failure). [Website updated 2026-08-23: on-file URL now live.]",https://diariodorio.com/governo-do-rio-lanca-edital-de-r-12-milhoes-para-impulsionar-startups,2025-05,medium
